YEAR,MONTH,ORIGIN_STATE_NM,DEST_STATE_NM,TOTAL_FLIGHTS
2013,9,Michigan      ,Colorado      ,495
2013,9,Michigan      ,Connecticut   ,238
2013,9,Michigan      ,Florida       ,761
2013,9,Michigan      ,Georgia       ,1020
2013,9,Michigan      ,Illinois      ,2369
2013,9,Michigan      ,Indiana       ,738
2013,9,Michigan      ,Iowa          ,314
2013,9,Michigan      ,Kentucky      ,524
2013,9,Michigan      ,Louisiana     ,98
2013,9,Michigan      ,Maine         ,267
2013,9,Michigan      ,Maryland      ,709
2013,9,Michigan      ,Massachusetts ,396
2013,9,Michigan      ,Michigan      ,1129
2013,9,Michigan      ,Minnesota     ,1009
2013,9,Michigan      ,Missouri      ,405
